phase,elapsed_s,rss_kb,ws_clients,http_clients,teach_points,safety_total,static_cache_bytes,tx_dropped,header_rejects,conn_rejects,hammer_ops
A 无客户端,0.0,1896,0,1,0,0,0,0,0,0,0
A 无客户端,15.0,1896,0,1,0,0,0,0,0,0,0
A 无客户端,30.0,1896,0,1,0,0,0,0,0,0,0
A 无客户端,45.0,1896,0,1,0,0,0,0,0,0,0
A 无客户端,60.0,1896,0,1,0,0,0,0,0,0,0
A 无客户端,75.0,1896,0,1,0,0,0,0,0,0,0
A 无客户端,90.0,1896,0,1,0,0,0,0,0,0,0
A 无客户端,105.1,1896,0,1,0,0,0,0,0,0,0
A 无客户端,120.1,1896,0,1,0,0,0,0,0,0,0
A 无客户端,135.1,1896,0,1,0,0,0,0,0,0,0
A 无客户端,150.1,1896,0,1,0,0,0,0,0,0,0
A 无客户端,165.1,1896,0,1,0,0,0,0,0,0,0
A 无客户端,180.1,1896,0,1,0,0,0,0,0,0,0
A 无客户端,195.1,1896,0,1,0,0,0,0,0,0,0
A 无客户端,210.1,1896,0,1,0,0,0,0,0,0,0
A 无客户端,225.1,1896,0,1,0,0,0,0,0,0,0
A 无客户端,240.1,1896,0,1,0,0,0,0,0,0,0
A 无客户端,255.1,1896,0,1,0,0,0,0,0,0,0
A 无客户端,270.1,1896,0,1,0,0,0,0,0,0,0
A 无客户端,285.2,1896,0,1,0,0,0,0,0,0,0
A 无客户端,300.2,1896,0,1,0,0,0,0,0,0,0
A 无客户端,315.2,1896,0,1,0,0,0,0,0,0,0
A 无客户端,330.2,1896,0,1,0,0,0,0,0,0,0
A 无客户端,345.2,1896,0,1,0,0,0,0,0,0,0
A 无客户端,360.2,1896,0,1,0,0,0,0,0,0,0
A 无客户端,375.2,1896,0,1,0,0,0,0,0,0,0
A 无客户端,390.2,1896,0,1,0,0,0,0,0,0,0
A 无客户端,405.2,1896,0,1,0,0,0,0,0,0,0
A 无客户端,420.2,1896,0,1,0,0,0,0,0,0,0
A 无客户端,435.2,1896,0,1,0,0,0,0,0,0,0
A 无客户端,450.2,1896,0,1,0,0,0,0,0,0,0
A 无客户端,465.3,1896,0,1,0,0,0,0,0,0,0
A 无客户端,480.3,1896,0,1,0,0,0,0,0,0,0
A 无客户端,495.3,1896,0,1,0,0,0,0,0,0,0
A 无客户端,510.3,1896,0,1,0,0,0,0,0,0,0
A 无客户端,525.3,1896,0,1,0,0,0,0,0,0,0
A 无客户端,540.3,1896,0,1,0,0,0,0,0,0,0
A 无客户端,555.3,1896,0,1,0,0,0,0,0,0,0
A 无客户端,570.3,1896,0,1,0,0,0,0,0,0,0
A 无客户端,585.3,1896,0,1,0,0,0,0,0,0,0
A 无客户端,600.3,1896,0,1,0,0,0,0,0,0,0
A 无客户端,615.3,1896,0,1,0,0,0,0,0,0,0
A 无客户端,630.3,1896,0,1,0,0,0,0,0,0,0
A 无客户端,645.3,1896,0,1,0,0,0,0,0,0,0
A 无客户端,660.4,1896,0,1,0,0,0,0,0,0,0
A 无客户端,675.4,1896,0,1,0,0,0,0,0,0,0
A 无客户端,690.4,1896,0,1,0,0,0,0,0,0,0
A 无客户端,705.4,1896,0,1,0,0,0,0,0,0,0
B 1 客户端,720.4,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,735.4,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,750.4,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,765.4,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,780.4,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,795.4,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,810.4,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,825.5,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,840.5,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,855.5,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,870.5,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,885.5,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,900.5,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,915.5,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,930.5,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,945.5,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,960.6,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,975.6,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,990.6,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1005.6,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1020.6,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1035.6,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1050.6,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1065.6,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1080.6,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1095.6,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1110.7,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1125.7,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1140.7,1896,1,2,0,0,0,0,0,0,0
B 1 客户端,1155.7,1896,1,2,0,0,0,0,0,0,0
